Advertiser,Campaign,Site (CM360),Placement,Ad,Creative,Date,Impressions,Clicks,Click Rate
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-CE-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-CE-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-CE-HV-DE-Grm-16x9-30s,7/21/25,516,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-CE-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-CE-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-CE-HV-DE-Grm-16x9-30s,7/22/25,491,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-CE-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-CE-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-CE-HV-DE-Grm-16x9-30s,7/23/25,503,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-CE-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-CE-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-CE-HV-DE-Grm-16x9-30s,7/24/25,472,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-CE-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-CE-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-CE-HV-DE-Grm-16x9-30s,7/25/25,464,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-CE-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-CE-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-CE-HV-DE-Grm-16x9-30s,7/26/25,474,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-CE-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-CE-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-CE-HV-DE-Grm-16x9-30s,7/27/25,483,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-FF-WBW-DE-Grm-16x9-30s,7/21/25,476,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-FF-WBW-DE-Grm-16x9-30s,7/22/25,466,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-FF-WBW-DE-Grm-16x9-30s,7/23/25,524,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-FF-WBW-DE-Grm-16x9-30s,7/24/25,477,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-FF-WBW-DE-Grm-16x9-30s,7/25/25,478,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-FF-WBW-DE-Grm-16x9-30s,7/26/25,464,0,0
